,all,nt1,nt2,nt12,nt1pct,nt2pct,nt12pct
2010-01-03,19278748,5224244,2354342,2354249,0.27098460958149356,0.12212110454475571,0.12211628058004596
2010-01-04,25714950,7400372,3021641,3020622,0.28778481000351935,0.11750522555945082,0.1174655988053642
2010-01-05,26801450,7587719,2987871,2987519,0.28310852584468377,0.11148169222187605,0.11146855860410537
2010-01-06,25935219,7406520,2925043,2924687,0.28557769263486843,0.11278266052042976,0.11276893401208604
2010-01-07,25092130,7030032,2799027,2798562,0.2801688019311234,0.11154999595490697,0.11153146424795345
2010-01-08,26185639,7273531,2891493,2890203,0.2777679399001873,0.11042285429811356,0.11037359065402223
2010-01-09,24489901,6744769,2792927,2792615,0.2754102190939849,0.11404402982274203,0.11403128987740702
2010-01-10,21899999,5699819,2543044,2542883,0.26026571964683654,0.11612073589592402,0.11611338429741482
2010-01-11,26159910,7416688,2963379,2963017,0.2835135136168282,0.1132794034841863,0.11326556551608931
2010-01-12,24164661,6785057,2597006,2596586,0.28078428246934645,0.10747123661283724,0.10745385586000979
2010-01-13,23532578,6696093,2427185,2426568,0.2845456626129105,0.10314148326630428,0.10311526429446022
2010-01-14,24295864,7042272,2665529,2664700,0.2898547670500625,0.10971122492289223,0.10967710388895822
2010-01-15,27580083,7892759,3003395,3001000,0.28617604232735633,0.10889724298509182,0.1088104049578096
2010-01-16,26390337,7423482,3001186,2999021,0.28129546053163323,0.11372291304957569,0.11364087544619078
2010-01-17,20631336,5508703,2371151,2370824,0.2670066058737059,0.11492959059946481,0.11491374092303087
2010-01-18,27137988,7659704,2979914,2977204,0.2822502537771039,0.10980600330429802,0.10970614328519859
2010-01-19,25946040,7331825,2823645,2822036,0.282579730856809,0.1088275898749867,0.1087655765581183
2010-01-20,26377702,7329171,2802008,2800162,0.2778547956906936,0.10622638772702793,0.10615640437518022
2010-01-21,26614201,7322915,2809100,2806285,0.27515066110757935,0.10554891352928461,0.10544314292959613
2010-01-22,28424189,8036501,3029358,3026363,0.2827345751183965,0.10657676108190808,0.10647139308002772
2010-01-23,26541732,7395964,2910845,2908492,0.2786541586660584,0.10967049927261717,0.10958184642961506
